scene,name,repetition,new_token,reference_token,new_ns,reference_ns,campaign,comparison,new_high_load,new_unknown_load,reference_high_load,reference_unknown_load
14,mixed_last_128_273,7,measured/7/14/0/dag_ready,measured/7/14/2/qualified_parent,1979487291,1923420834,initial,dag_ready/qualified_parent,,,,
23,general_last_129_273,2,measured/2/23/2/dag_ready,measured/2/23/0/qualified_parent,1871570958,1790396083,initial,dag_ready/qualified_parent,,,,
23,general_last_129_273,3,measured/3/23/1/dag_ready,measured/3/23/0/qualified_parent,1869894500,1830778459,initial,dag_ready/qualified_parent,,,,
23,general_last_129_273,4,measured/4/23/2/dag_ready,measured/4/23/1/qualified_parent,1840316375,1780533792,initial,dag_ready/qualified_parent,,,,
23,general_last_129_273,5,measured/5/23/1/dag_ready,measured/5/23/2/qualified_parent,1826270750,1784278584,initial,dag_ready/qualified_parent,,,,
23,general_last_129_273,6,measured/6/23/0/dag_ready,measured/6/23/1/qualified_parent,1858025333,1790210917,initial,dag_ready/qualified_parent,,,,
23,general_last_129_273,7,measured/7/23/0/dag_ready,measured/7/23/2/qualified_parent,1922377292,1900954709,initial,dag_ready/qualified_parent,,,,
24,mixed_last_129_273,2,measured/2/24/2/dag_ready,measured/2/24/0/qualified_parent,1873274417,1781269708,initial,dag_ready/qualified_parent,,,,
24,mixed_last_129_273,3,measured/3/24/1/dag_ready,measured/3/24/0/qualified_parent,1880616291,1875506042,initial,dag_ready/qualified_parent,,,,
24,mixed_last_129_273,4,measured/4/24/2/dag_ready,measured/4/24/1/qualified_parent,1817572709,1775008584,initial,dag_ready/qualified_parent,,,,
24,mixed_last_129_273,5,measured/5/24/1/dag_ready,measured/5/24/2/qualified_parent,1839198750,1808610458,initial,dag_ready/qualified_parent,,,,
24,mixed_last_129_273,6,measured/6/24/0/dag_ready,measured/6/24/1/qualified_parent,1891868000,1801599000,initial,dag_ready/qualified_parent,,,,
24,mixed_last_129_273,7,measured/7/24/0/dag_ready,measured/7/24/2/qualified_parent,1898198042,1855504708,initial,dag_ready/qualified_parent,,,,
35,alternating_thresholds_n128,2,measured/2/35/2/dag_ready,measured/2/35/0/qualified_parent,1824871750,1745693750,initial,dag_ready/qualified_parent,,,,
35,alternating_thresholds_n128,3,measured/3/35/1/dag_ready,measured/3/35/0/qualified_parent,1811892834,1770330291,initial,dag_ready/qualified_parent,,,,
35,alternating_thresholds_n128,4,measured/4/35/2/dag_ready,measured/4/35/1/qualified_parent,1827729375,1800393042,initial,dag_ready/qualified_parent,,,,
35,alternating_thresholds_n128,5,measured/5/35/1/dag_ready,measured/5/35/2/qualified_parent,1839045583,1805266458,initial,dag_ready/qualified_parent,,,,
35,alternating_thresholds_n128,6,measured/6/35/0/dag_ready,measured/6/35/1/qualified_parent,1809804875,1763921042,initial,dag_ready/qualified_parent,,,,
35,alternating_thresholds_n128,7,measured/7/35/0/dag_ready,measured/7/35/2/qualified_parent,2054260542,2244902875,initial,dag_ready/qualified_parent,,,,
38,threshold_blocks_n128,2,measured/2/38/2/dag_ready,measured/2/38/0/qualified_parent,1846538792,1749511625,initial,dag_ready/qualified_parent,,,,
38,threshold_blocks_n128,3,measured/3/38/1/dag_ready,measured/3/38/0/qualified_parent,1826351458,1759889875,initial,dag_ready/qualified_parent,,,,
38,threshold_blocks_n128,4,measured/4/38/2/dag_ready,measured/4/38/1/qualified_parent,1807520209,1836350375,initial,dag_ready/qualified_parent,,,,
38,threshold_blocks_n128,5,measured/5/38/1/dag_ready,measured/5/38/2/qualified_parent,1783624000,1749307667,initial,dag_ready/qualified_parent,,,,
38,threshold_blocks_n128,6,measured/6/38/0/dag_ready,measured/6/38/1/qualified_parent,1805160667,1747293875,initial,dag_ready/qualified_parent,,,,
38,threshold_blocks_n128,7,measured/7/38/0/dag_ready,measured/7/38/2/qualified_parent,2086479959,1987570542,initial,dag_ready/qualified_parent,,,,
39,heterogeneous_thresholds_n128,2,measured/2/39/2/dag_ready,measured/2/39/0/qualified_parent,1925493750,1914903250,initial,dag_ready/qualified_parent,,,,
39,heterogeneous_thresholds_n128,3,measured/3/39/1/dag_ready,measured/3/39/0/qualified_parent,1969156833,1799702083,initial,dag_ready/qualified_parent,,,,
39,heterogeneous_thresholds_n128,4,measured/4/39/2/dag_ready,measured/4/39/1/qualified_parent,1852166333,1828419208,initial,dag_ready/qualified_parent,,,,
39,heterogeneous_thresholds_n128,5,measured/5/39/1/dag_ready,measured/5/39/2/qualified_parent,1842403791,1786542208,initial,dag_ready/qualified_parent,,,,
39,heterogeneous_thresholds_n128,6,measured/6/39/0/dag_ready,measured/6/39/1/qualified_parent,2006220875,1868910083,initial,dag_ready/qualified_parent,,,,
39,heterogeneous_thresholds_n128,7,measured/7/39/0/dag_ready,measured/7/39/2/qualified_parent,1849865041,1797458917,initial,dag_ready/qualified_parent,,,,
12,aligned_last_128_-1,2,measured/2/12/2/dag_ready,measured/2/12/1/barrier_reference,1818828542,1723228333,initial,dag_ready/barrier_reference,,,,
12,aligned_last_128_-1,3,measured/3/12/1/dag_ready,measured/3/12/2/barrier_reference,1927165083,1738129500,initial,dag_ready/barrier_reference,,,,
12,aligned_last_128_-1,4,measured/4/12/2/dag_ready,measured/4/12/0/barrier_reference,1905767417,1860846417,initial,dag_ready/barrier_reference,,,,
12,aligned_last_128_-1,5,measured/5/12/1/dag_ready,measured/5/12/0/barrier_reference,1827152167,1733468292,initial,dag_ready/barrier_reference,,,,
12,aligned_last_128_-1,6,measured/6/12/0/dag_ready,measured/6/12/2/barrier_reference,1801638416,1703189541,initial,dag_ready/barrier_reference,,,,
12,aligned_last_128_-1,7,measured/7/12/0/dag_ready,measured/7/12/1/barrier_reference,1805137542,1719318416,initial,dag_ready/barrier_reference,,,,
13,general_last_128_273,2,measured/2/13/2/dag_ready,measured/2/13/1/barrier_reference,1821249166,1760314750,initial,dag_ready/barrier_reference,,,,
13,general_last_128_273,3,measured/3/13/1/dag_ready,measured/3/13/2/barrier_reference,1936343708,1771714125,initial,dag_ready/barrier_reference,,,,
13,general_last_128_273,4,measured/4/13/2/dag_ready,measured/4/13/0/barrier_reference,1902244541,1825681208,initial,dag_ready/barrier_reference,,,,
13,general_last_128_273,5,measured/5/13/1/dag_ready,measured/5/13/0/barrier_reference,1814590584,1751191041,initial,dag_ready/barrier_reference,,,,
13,general_last_128_273,6,measured/6/13/0/dag_ready,measured/6/13/2/barrier_reference,1790513292,1737544334,initial,dag_ready/barrier_reference,,,,
13,general_last_128_273,7,measured/7/13/0/dag_ready,measured/7/13/1/barrier_reference,1926181459,1817099417,initial,dag_ready/barrier_reference,,,,
14,mixed_last_128_273,2,measured/2/14/2/dag_ready,measured/2/14/1/barrier_reference,1832204250,1742162625,initial,dag_ready/barrier_reference,,,,
14,mixed_last_128_273,3,measured/3/14/1/dag_ready,measured/3/14/2/barrier_reference,1841864417,1709365916,initial,dag_ready/barrier_reference,,,,
14,mixed_last_128_273,4,measured/4/14/2/dag_ready,measured/4/14/0/barrier_reference,1888959000,1899508084,initial,dag_ready/barrier_reference,,,,
14,mixed_last_128_273,5,measured/5/14/1/dag_ready,measured/5/14/0/barrier_reference,1804775625,1745600250,initial,dag_ready/barrier_reference,,,,
14,mixed_last_128_273,6,measured/6/14/0/dag_ready,measured/6/14/2/barrier_reference,1821832084,1717470958,initial,dag_ready/barrier_reference,,,,
14,mixed_last_128_273,7,measured/7/14/0/dag_ready,measured/7/14/1/barrier_reference,1979487291,1926780000,initial,dag_ready/barrier_reference,,,,
23,general_last_129_273,2,measured/2/23/2/dag_ready,measured/2/23/1/barrier_reference,1871570958,1810756334,initial,dag_ready/barrier_reference,,,,
23,general_last_129_273,3,measured/3/23/1/dag_ready,measured/3/23/2/barrier_reference,1869894500,1773841500,initial,dag_ready/barrier_reference,,,,
23,general_last_129_273,4,measured/4/23/2/dag_ready,measured/4/23/0/barrier_reference,1840316375,1829474709,initial,dag_ready/barrier_reference,,,,
23,general_last_129_273,5,measured/5/23/1/dag_ready,measured/5/23/0/barrier_reference,1826270750,1780306459,initial,dag_ready/barrier_reference,,,,
23,general_last_129_273,6,measured/6/23/0/dag_ready,measured/6/23/2/barrier_reference,1858025333,1752222083,initial,dag_ready/barrier_reference,,,,
23,general_last_129_273,7,measured/7/23/0/dag_ready,measured/7/23/1/barrier_reference,1922377292,1933152042,initial,dag_ready/barrier_reference,,,,
24,mixed_last_129_273,2,measured/2/24/2/dag_ready,measured/2/24/1/barrier_reference,1873274417,1786617750,initial,dag_ready/barrier_reference,,,,
24,mixed_last_129_273,3,measured/3/24/1/dag_ready,measured/3/24/2/barrier_reference,1880616291,1766557375,initial,dag_ready/barrier_reference,,,,
24,mixed_last_129_273,4,measured/4/24/2/dag_ready,measured/4/24/0/barrier_reference,1817572709,1787589291,initial,dag_ready/barrier_reference,,,,
24,mixed_last_129_273,5,measured/5/24/1/dag_ready,measured/5/24/0/barrier_reference,1839198750,1750463125,initial,dag_ready/barrier_reference,,,,
24,mixed_last_129_273,6,measured/6/24/0/dag_ready,measured/6/24/2/barrier_reference,1891868000,1788478042,initial,dag_ready/barrier_reference,,,,
24,mixed_last_129_273,7,measured/7/24/0/dag_ready,measured/7/24/1/barrier_reference,1898198042,1916786084,initial,dag_ready/barrier_reference,,,,
35,alternating_thresholds_n128,2,measured/2/35/2/dag_ready,measured/2/35/1/barrier_reference,1824871750,1761351042,initial,dag_ready/barrier_reference,,,,
35,alternating_thresholds_n128,3,measured/3/35/1/dag_ready,measured/3/35/2/barrier_reference,1811892834,1738991167,initial,dag_ready/barrier_reference,,,,
35,alternating_thresholds_n128,4,measured/4/35/2/dag_ready,measured/4/35/0/barrier_reference,1827729375,1712388417,initial,dag_ready/barrier_reference,,,,
35,alternating_thresholds_n128,5,measured/5/35/1/dag_ready,measured/5/35/0/barrier_reference,1839045583,1757719625,initial,dag_ready/barrier_reference,,,,
35,alternating_thresholds_n128,6,measured/6/35/0/dag_ready,measured/6/35/2/barrier_reference,1809804875,1724171083,initial,dag_ready/barrier_reference,,,,
35,alternating_thresholds_n128,7,measured/7/35/0/dag_ready,measured/7/35/1/barrier_reference,2054260542,2112212875,initial,dag_ready/barrier_reference,,,,
38,threshold_blocks_n128,2,measured/2/38/2/dag_ready,measured/2/38/1/barrier_reference,1846538792,1763112458,initial,dag_ready/barrier_reference,,,,
38,threshold_blocks_n128,3,measured/3/38/1/dag_ready,measured/3/38/2/barrier_reference,1826351458,1718280542,initial,dag_ready/barrier_reference,,,,
38,threshold_blocks_n128,4,measured/4/38/2/dag_ready,measured/4/38/0/barrier_reference,1807520209,1742215500,initial,dag_ready/barrier_reference,,,,
38,threshold_blocks_n128,5,measured/5/38/1/dag_ready,measured/5/38/0/barrier_reference,1783624000,1696096750,initial,dag_ready/barrier_reference,,,,
38,threshold_blocks_n128,6,measured/6/38/0/dag_ready,measured/6/38/2/barrier_reference,1805160667,1747971042,initial,dag_ready/barrier_reference,,,,
38,threshold_blocks_n128,7,measured/7/38/0/dag_ready,measured/7/38/1/barrier_reference,2086479959,1962710333,initial,dag_ready/barrier_reference,,,,
39,heterogeneous_thresholds_n128,2,measured/2/39/2/dag_ready,measured/2/39/1/barrier_reference,1925493750,1877979083,initial,dag_ready/barrier_reference,,,,
39,heterogeneous_thresholds_n128,3,measured/3/39/1/dag_ready,measured/3/39/2/barrier_reference,1969156833,1864166167,initial,dag_ready/barrier_reference,,,,
39,heterogeneous_thresholds_n128,4,measured/4/39/2/dag_ready,measured/4/39/0/barrier_reference,1852166333,1803237333,initial,dag_ready/barrier_reference,,,,
39,heterogeneous_thresholds_n128,5,measured/5/39/1/dag_ready,measured/5/39/0/barrier_reference,1842403791,1770852750,initial,dag_ready/barrier_reference,,,,
39,heterogeneous_thresholds_n128,6,measured/6/39/0/dag_ready,measured/6/39/2/barrier_reference,2006220875,1852610500,initial,dag_ready/barrier_reference,,,,
39,heterogeneous_thresholds_n128,7,measured/7/39/0/dag_ready,measured/7/39/1/barrier_reference,1849865041,1805683542,initial,dag_ready/barrier_reference,,,,
12,aligned_last_128_-1,2,measured/2/12/1/barrier_reference,measured/2/12/0/qualified_parent,1723228333,1738111084,initial,barrier_reference/qualified_parent,,,,
12,aligned_last_128_-1,3,measured/3/12/2/barrier_reference,measured/3/12/0/qualified_parent,1738129500,1867638625,initial,barrier_reference/qualified_parent,,,,
12,aligned_last_128_-1,4,measured/4/12/0/barrier_reference,measured/4/12/1/qualified_parent,1860846417,1850627292,initial,barrier_reference/qualified_parent,,,,
12,aligned_last_128_-1,5,measured/5/12/0/barrier_reference,measured/5/12/2/qualified_parent,1733468292,1754735083,initial,barrier_reference/qualified_parent,,,,
12,aligned_last_128_-1,6,measured/6/12/2/barrier_reference,measured/6/12/1/qualified_parent,1703189541,1735501000,initial,barrier_reference/qualified_parent,,,,
12,aligned_last_128_-1,7,measured/7/12/1/barrier_reference,measured/7/12/2/qualified_parent,1719318416,1787993042,initial,barrier_reference/qualified_parent,,,,
13,general_last_128_273,2,measured/2/13/1/barrier_reference,measured/2/13/0/qualified_parent,1760314750,1760855958,initial,barrier_reference/qualified_parent,,,,
13,general_last_128_273,3,measured/3/13/2/barrier_reference,measured/3/13/0/qualified_parent,1771714125,1809169125,initial,barrier_reference/qualified_parent,,,,
13,general_last_128_273,4,measured/4/13/0/barrier_reference,measured/4/13/1/qualified_parent,1825681208,1858572958,initial,barrier_reference/qualified_parent,,,,
13,general_last_128_273,5,measured/5/13/0/barrier_reference,measured/5/13/2/qualified_parent,1751191041,1746908916,initial,barrier_reference/qualified_parent,,,,
13,general_last_128_273,6,measured/6/13/2/barrier_reference,measured/6/13/1/qualified_parent,1737544334,1745428959,initial,barrier_reference/qualified_parent,,,,
13,general_last_128_273,7,measured/7/13/1/barrier_reference,measured/7/13/2/qualified_parent,1817099417,1831319334,initial,barrier_reference/qualified_parent,,,,
14,mixed_last_128_273,2,measured/2/14/1/barrier_reference,measured/2/14/0/qualified_parent,1742162625,1719954500,initial,barrier_reference/qualified_parent,,,,
14,mixed_last_128_273,3,measured/3/14/2/barrier_reference,measured/3/14/0/qualified_parent,1709365916,1772912959,initial,barrier_reference/qualified_parent,,,,
14,mixed_last_128_273,4,measured/4/14/0/barrier_reference,measured/4/14/1/qualified_parent,1899508084,1848972833,initial,barrier_reference/qualified_parent,,,,
14,mixed_last_128_273,5,measured/5/14/0/barrier_reference,measured/5/14/2/qualified_parent,1745600250,1740514916,initial,barrier_reference/qualified_parent,,,,
14,mixed_last_128_273,6,measured/6/14/2/barrier_reference,measured/6/14/1/qualified_parent,1717470958,1752737166,initial,barrier_reference/qualified_parent,,,,
14,mixed_last_128_273,7,measured/7/14/1/barrier_reference,measured/7/14/2/qualified_parent,1926780000,1923420834,initial,barrier_reference/qualified_parent,,,,
23,general_last_129_273,2,measured/2/23/1/barrier_reference,measured/2/23/0/qualified_parent,1810756334,1790396083,initial,barrier_reference/qualified_parent,,,,
23,general_last_129_273,3,measured/3/23/2/barrier_reference,measured/3/23/0/qualified_parent,1773841500,1830778459,initial,barrier_reference/qualified_parent,,,,
23,general_last_129_273,4,measured/4/23/0/barrier_reference,measured/4/23/1/qualified_parent,1829474709,1780533792,initial,barrier_reference/qualified_parent,,,,
23,general_last_129_273,5,measured/5/23/0/barrier_reference,measured/5/23/2/qualified_parent,1780306459,1784278584,initial,barrier_reference/qualified_parent,,,,
23,general_last_129_273,6,measured/6/23/2/barrier_reference,measured/6/23/1/qualified_parent,1752222083,1790210917,initial,barrier_reference/qualified_parent,,,,
23,general_last_129_273,7,measured/7/23/1/barrier_reference,measured/7/23/2/qualified_parent,1933152042,1900954709,initial,barrier_reference/qualified_parent,,,,
24,mixed_last_129_273,2,measured/2/24/1/barrier_reference,measured/2/24/0/qualified_parent,1786617750,1781269708,initial,barrier_reference/qualified_parent,,,,
24,mixed_last_129_273,3,measured/3/24/2/barrier_reference,measured/3/24/0/qualified_parent,1766557375,1875506042,initial,barrier_reference/qualified_parent,,,,
24,mixed_last_129_273,4,measured/4/24/0/barrier_reference,measured/4/24/1/qualified_parent,1787589291,1775008584,initial,barrier_reference/qualified_parent,,,,
24,mixed_last_129_273,5,measured/5/24/0/barrier_reference,measured/5/24/2/qualified_parent,1750463125,1808610458,initial,barrier_reference/qualified_parent,,,,
24,mixed_last_129_273,6,measured/6/24/2/barrier_reference,measured/6/24/1/qualified_parent,1788478042,1801599000,initial,barrier_reference/qualified_parent,,,,
24,mixed_last_129_273,7,measured/7/24/1/barrier_reference,measured/7/24/2/qualified_parent,1916786084,1855504708,initial,barrier_reference/qualified_parent,,,,
35,alternating_thresholds_n128,2,measured/2/35/1/barrier_reference,measured/2/35/0/qualified_parent,1761351042,1745693750,initial,barrier_reference/qualified_parent,,,,
35,alternating_thresholds_n128,3,measured/3/35/2/barrier_reference,measured/3/35/0/qualified_parent,1738991167,1770330291,initial,barrier_reference/qualified_parent,,,,
35,alternating_thresholds_n128,4,measured/4/35/0/barrier_reference,measured/4/35/1/qualified_parent,1712388417,1800393042,initial,barrier_reference/qualified_parent,,,,
35,alternating_thresholds_n128,5,measured/5/35/0/barrier_reference,measured/5/35/2/qualified_parent,1757719625,1805266458,initial,barrier_reference/qualified_parent,,,,
35,alternating_thresholds_n128,6,measured/6/35/2/barrier_reference,measured/6/35/1/qualified_parent,1724171083,1763921042,initial,barrier_reference/qualified_parent,,,,
35,alternating_thresholds_n128,7,measured/7/35/1/barrier_reference,measured/7/35/2/qualified_parent,2112212875,2244902875,initial,barrier_reference/qualified_parent,,,,
38,threshold_blocks_n128,2,measured/2/38/1/barrier_reference,measured/2/38/0/qualified_parent,1763112458,1749511625,initial,barrier_reference/qualified_parent,,,,
38,threshold_blocks_n128,3,measured/3/38/2/barrier_reference,measured/3/38/0/qualified_parent,1718280542,1759889875,initial,barrier_reference/qualified_parent,,,,
38,threshold_blocks_n128,4,measured/4/38/0/barrier_reference,measured/4/38/1/qualified_parent,1742215500,1836350375,initial,barrier_reference/qualified_parent,,,,
38,threshold_blocks_n128,5,measured/5/38/0/barrier_reference,measured/5/38/2/qualified_parent,1696096750,1749307667,initial,barrier_reference/qualified_parent,,,,
38,threshold_blocks_n128,6,measured/6/38/2/barrier_reference,measured/6/38/1/qualified_parent,1747971042,1747293875,initial,barrier_reference/qualified_parent,,,,
38,threshold_blocks_n128,7,measured/7/38/1/barrier_reference,measured/7/38/2/qualified_parent,1962710333,1987570542,initial,barrier_reference/qualified_parent,,,,
39,heterogeneous_thresholds_n128,2,measured/2/39/1/barrier_reference,measured/2/39/0/qualified_parent,1877979083,1914903250,initial,barrier_reference/qualified_parent,,,,
39,heterogeneous_thresholds_n128,3,measured/3/39/2/barrier_reference,measured/3/39/0/qualified_parent,1864166167,1799702083,initial,barrier_reference/qualified_parent,,,,
39,heterogeneous_thresholds_n128,4,measured/4/39/0/barrier_reference,measured/4/39/1/qualified_parent,1803237333,1828419208,initial,barrier_reference/qualified_parent,,,,
39,heterogeneous_thresholds_n128,5,measured/5/39/0/barrier_reference,measured/5/39/2/qualified_parent,1770852750,1786542208,initial,barrier_reference/qualified_parent,,,,
39,heterogeneous_thresholds_n128,6,measured/6/39/2/barrier_reference,measured/6/39/1/qualified_parent,1852610500,1868910083,initial,barrier_reference/qualified_parent,,,,
39,heterogeneous_thresholds_n128,7,measured/7/39/1/barrier_reference,measured/7/39/2/qualified_parent,1805683542,1797458917,initial,barrier_reference/qualified_parent,,,,
13,general_last_128_273,2,measured/2/13/3/dag_ready,measured/2/13/0/qualified_parent,1999283250,2148883083,diagnosis,dag_ready/qualified_parent,True,True,True,True
13,general_last_128_273,3,measured/3/13/1/dag_ready,measured/3/13/2/qualified_parent,1859755500,1789067291,diagnosis,dag_ready/qualified_parent,True,True,True,True
13,general_last_128_273,4,measured/4/13/0/dag_ready,measured/4/13/4/qualified_parent,1844941833,1796746959,diagnosis,dag_ready/qualified_parent,True,False,True,False
13,general_last_128_273,5,measured/5/13/2/dag_ready,measured/5/13/3/qualified_parent,1859359042,1785196291,diagnosis,dag_ready/qualified_parent,True,False,True,False
13,general_last_128_273,6,measured/6/13/4/dag_ready,measured/6/13/1/qualified_parent,1849815667,1782530333,diagnosis,dag_ready/qualified_parent,True,True,True,False
13,general_last_128_273,7,measured/7/13/1/dag_ready,measured/7/13/4/qualified_parent,1912762792,1880392750,diagnosis,dag_ready/qualified_parent,True,False,True,True
13,general_last_128_273,8,measured/8/13/3/dag_ready,measured/8/13/2/qualified_parent,1861603125,1841928709,diagnosis,dag_ready/qualified_parent,True,False,True,True
13,general_last_128_273,9,measured/9/13/4/dag_ready,measured/9/13/0/qualified_parent,1969123416,1925295167,diagnosis,dag_ready/qualified_parent,True,False,True,True
13,general_last_128_273,10,measured/10/13/2/dag_ready,measured/10/13/1/qualified_parent,1990508041,1981110125,diagnosis,dag_ready/qualified_parent,True,True,True,True
13,general_last_128_273,11,measured/11/13/0/dag_ready,measured/11/13/3/qualified_parent,1852450625,1887034667,diagnosis,dag_ready/qualified_parent,True,True,True,True
24,mixed_last_129_273,2,measured/2/24/3/dag_ready,measured/2/24/0/qualified_parent,1929596375,1896418250,diagnosis,dag_ready/qualified_parent,True,True,True,False
24,mixed_last_129_273,3,measured/3/24/1/dag_ready,measured/3/24/2/qualified_parent,1927765333,1922496208,diagnosis,dag_ready/qualified_parent,True,False,True,True
24,mixed_last_129_273,4,measured/4/24/0/dag_ready,measured/4/24/4/qualified_parent,1884374584,1864265375,diagnosis,dag_ready/qualified_parent,True,True,True,True
24,mixed_last_129_273,5,measured/5/24/2/dag_ready,measured/5/24/3/qualified_parent,1946843375,1865780750,diagnosis,dag_ready/qualified_parent,True,True,True,True
24,mixed_last_129_273,6,measured/6/24/4/dag_ready,measured/6/24/1/qualified_parent,1888832792,1949282917,diagnosis,dag_ready/qualified_parent,True,True,True,True
24,mixed_last_129_273,7,measured/7/24/1/dag_ready,measured/7/24/4/qualified_parent,1951360167,2003942666,diagnosis,dag_ready/qualified_parent,True,True,True,False
24,mixed_last_129_273,8,measured/8/24/3/dag_ready,measured/8/24/2/qualified_parent,1927492916,1968549333,diagnosis,dag_ready/qualified_parent,True,True,True,True
24,mixed_last_129_273,9,measured/9/24/4/dag_ready,measured/9/24/0/qualified_parent,1917958667,1930386375,diagnosis,dag_ready/qualified_parent,True,True,True,False
24,mixed_last_129_273,10,measured/10/24/2/dag_ready,measured/10/24/1/qualified_parent,2006849292,1969931542,diagnosis,dag_ready/qualified_parent,True,False,True,False
24,mixed_last_129_273,11,measured/11/24/0/dag_ready,measured/11/24/3/qualified_parent,1944378666,1934265500,diagnosis,dag_ready/qualified_parent,True,True,True,True
35,alternating_thresholds_n128,2,measured/2/35/3/dag_ready,measured/2/35/0/qualified_parent,1886671125,1907756958,diagnosis,dag_ready/qualified_parent,True,True,True,True
35,alternating_thresholds_n128,3,measured/3/35/1/dag_ready,measured/3/35/2/qualified_parent,2003423833,1881355041,diagnosis,dag_ready/qualified_parent,True,True,True,True
35,alternating_thresholds_n128,4,measured/4/35/0/dag_ready,measured/4/35/4/qualified_parent,1892788125,1804309916,diagnosis,dag_ready/qualified_parent,True,True,True,True
35,alternating_thresholds_n128,5,measured/5/35/2/dag_ready,measured/5/35/3/qualified_parent,1833136083,1789720709,diagnosis,dag_ready/qualified_parent,True,False,True,False
35,alternating_thresholds_n128,6,measured/6/35/4/dag_ready,measured/6/35/1/qualified_parent,1843000000,1810272084,diagnosis,dag_ready/qualified_parent,True,True,True,False
35,alternating_thresholds_n128,7,measured/7/35/1/dag_ready,measured/7/35/4/qualified_parent,1903226042,2027486917,diagnosis,dag_ready/qualified_parent,True,True,True,True
35,alternating_thresholds_n128,8,measured/8/35/3/dag_ready,measured/8/35/2/qualified_parent,1868468958,1946704958,diagnosis,dag_ready/qualified_parent,True,True,True,True
35,alternating_thresholds_n128,9,measured/9/35/4/dag_ready,measured/9/35/0/qualified_parent,1912572375,2000200917,diagnosis,dag_ready/qualified_parent,True,True,True,True
35,alternating_thresholds_n128,10,measured/10/35/2/dag_ready,measured/10/35/1/qualified_parent,1964694667,1881574917,diagnosis,dag_ready/qualified_parent,True,True,True,True
35,alternating_thresholds_n128,11,measured/11/35/0/dag_ready,measured/11/35/3/qualified_parent,1925792708,1926019333,diagnosis,dag_ready/qualified_parent,True,True,True,True
38,threshold_blocks_n128,2,measured/2/38/3/dag_ready,measured/2/38/0/qualified_parent,1860563500,1830465875,diagnosis,dag_ready/qualified_parent,True,False,True,False
38,threshold_blocks_n128,3,measured/3/38/1/dag_ready,measured/3/38/2/qualified_parent,1883378417,1780450583,diagnosis,dag_ready/qualified_parent,True,True,True,True
38,threshold_blocks_n128,4,measured/4/38/0/dag_ready,measured/4/38/4/qualified_parent,1839557417,1899157000,diagnosis,dag_ready/qualified_parent,True,True,True,True
38,threshold_blocks_n128,5,measured/5/38/2/dag_ready,measured/5/38/3/qualified_parent,2093901333,2012898209,diagnosis,dag_ready/qualified_parent,True,True,True,True
38,threshold_blocks_n128,6,measured/6/38/4/dag_ready,measured/6/38/1/qualified_parent,1797150458,1764701958,diagnosis,dag_ready/qualified_parent,True,False,True,True
